"","ID","artif","available","unavailable","munic","kommunenummer","artifshare","municipality","pop","popdens","pop_2050","popdens_2050","popdens_chg","popdens_chg_rel","artifshare_chg","artifshare_2050","artif_2050","artif_chg","elig_tld"
"1","1",1217,32501,22087,"Vestnes","1535",0.0374450016922556,"1535 Vestnes",7147,21.990092612535,7079,21.780868280976,-0.209224331559032,-0.951448160067173,-0.000170822276306184,0.0372741794159494,1211,0,100
"2","2",4022,31955,6330,"TÃ¸nsberg","3905",0.125864496948834,"3905 Tønsberg",59174,185.179158191206,66892,209.331872946331,24.1527147551244,13.0428904586474,0.0150205815507044,0.140885078499539,4502,480,17.1817283630371
"3","3",1190,43169,42816,"Flekkefjord","4207",0.0275660775093238,"4207 Flekkefjord",9279,21.4945910259677,9076,21.0243461743381,-0.470244851629641,-2.18773574738657,-0.000384333880417035,0.0271817436289068,1173,0,100
"4","4",874,19676,5598,"Skaun","5029",0.0444195974791624,"5029 Skaun",8484,43.1185200243952,9947,50.5539743850376,7.43545436064241,17.2442244224423,0.00582647717285671,0.0502460746520191,989,115,6.35334396362305
"5","5",547,68108,200144,"KvÃ¦nangen","5546",0.00803136195454279,"5546 Kvænangen",1157,1.69877253773419,1245,1.8279790920303,0.129206554296118,7.60587726879863,0.000109112430339738,0.00814047438488252,554,7,1.76197242736816
"6","6",1107,19269,3985,"Enebakk","3220",0.0574497898178421,"3220 Enebakk",11482,59.5879391769163,13266,68.8463334890238,9.25839431210753,15.5373628287755,0.00705380264541532,0.0645035924632574,1243,136,5.01423311233521
"7","7",1297,33619,12092,"Vestre Slidre","3452",0.0385793747583212,"3452 Vestre Slidre",2112,6.28216187275053,2177,6.47550492281151,0.193343050060977,3.07765151515151,0.000162007204049976,0.0387413819623712,1302,5,6.30827283859253
"8","8",3907,143775,71219,"Orkland","5059",0.0271744044513998,"5059 Orkland",18793,13.0711180664232,19459,13.5343418535907,0.463223787167449,3.54387271856542,0.000383658492080385,0.0275580629434801,3962,55,12.8398962020874
"9","9",2960,225478,285182,"SÃ¸r-Varanger","5605",0.0131276665572694,"5605 Sør-Varanger",10063,4.46296312722305,10397,4.61109287824089,0.148129751017838,3.31908973467158,0.000124507878461767,0.0132521744357312,2988,28,10.0418996810913
"10","10",2205,80514,15016,"Nordre Land","3448",0.0273865414710485,"3448 Nordre Land",6510,8.08555033907147,6187,7.6843778721713,-0.401172466900166,-4.9615975422427,-0.000335301490439025,0.0270512399806095,2178,0,100
"11","11",1643,59994,105846,"Stad","4649",0.0273860719405274,"4649 Stad",9610,16.018268493516,9579,15.966596659666,-0.0516718338500528,-0.322580645161297,-4.26042827080322e-05,0.0273434676578194,1640,0,100
"12","12",877,18390,4192,"Jevnaker","3236",0.0476889613920609,"3236 Jevnaker",7037,38.2653616095704,8358,45.4486133768352,7.18325176726481,18.7722040642319,0.00567479289439415,0.0533637542864551,981,104,7.63302850723267
"13","13",670,21793,159736,"Ã˜ksnes","1868",0.0307438168219153,"1868 Øksnes",4569,20.9654476207957,4457,20.4515211306383,-0.513926490157392,-2.45130225432262,-0.000420420523097275,0.030323396298818,661,0,100
"14","14",2611,15851,4064,"Porsgrunn","4001",0.164721468677055,"4001 Porsgrunn",37193,234.641347549051,40193,253.567598258785,18.9262507097344,8.06603393111607,0.0110085367237113,0.175730005400766,2785,174,19.3027076721191
